- 0x0805b008 Free 92872 was never alloc'd 0xb7df9fc1

Memory not freed:
-----------------
   Address     Size     Caller
0x0806a3f8     0x21  at 0xb79430ed
0x0806a420     0x30  at 0xb7943613
0x0806a458     0x16  at 0xb7943669
0x0806a478      0xe  at 0xb79436d8
0x0806a490      0x8  at 0xb79435c0
0x0806a4a0     0x21  at 0xb79430ed
0x0806a4c8     0x30  at 0xb7943613
0x0806a500     0x18  at 0xb7943669
0x0806a520     0x10  at 0xb79436d8
0x0806a538      0x8  at 0xb79435c0
0x0806a548     0x21  at 0xb79430ed
0x0806a570     0x30  at 0xb7943613
0x0806a5a8     0x18  at 0xb7943669
0x0806a5c8     0x10  at 0xb79436d8
0x0806a5e0      0x8  at 0xb79435c0
0x0806a5f0     0x21  at 0xb79430ed
0x0806a618     0x30  at 0xb7943613
0x0806a650     0x18  at 0xb7943669
0x0806a670     0x10  at 0xb79436d8
0x0806a688      0x8  at 0xb79435c0
0x0806a698     0x21  at 0xb79430ed
0x0806a6c0     0x30  at 0xb7943613
0x0806a6f8     0x18  at 0xb7943669
0x0806a718     0x10  at 0xb79436d8
0x0806a730      0x8  at 0xb79435c0
0x0806a740     0x30  at 0xb7943613
0x0806a778     0x18  at 0xb7943669
0x0806a798     0x10  at 0xb79436d8
0x0806a7b0      0x8  at 0xb79435c0
0x0806a7c0     0x30  at 0xb7943613
0x0806a7f8     0x18  at 0xb7943669
0x0806a818     0x10  at 0xb79436d8
0x0806a830      0x8  at 0xb79435c0
0x0806a840     0x21  at 0xb79430ed
0x0806a868     0x30  at 0xb7943613
0x0806a8a0     0x17  at 0xb7943669
0x0806a8c0      0xf  at 0xb79436d8
0x0806a8d8      0x8  at 0xb79435c0
0x0806a8e8     0x21  at 0xb79430ed
0x0806a910     0x30  at 0xb7943613
0x0806a948     0x17  at 0xb7943669
0x0806a968      0xf  at 0xb79436d8
0x0806a980      0x8  at 0xb79435c0
0x0806a990     0x21  at 0xb79430ed
0x0806a9b8     0x30  at 0xb7943613
0x0806a9f0     0x18  at 0xb7943669
0x0806aa10     0x10  at 0xb79436d8
0x0806aa28      0x8  at 0xb79435c0
0x0806aa38     0x21  at 0xb79430ed
0x0806aa60     0x30  at 0xb7943613
0x0806aa98     0x18  at 0xb7943669
0x0806aab8     0x10  at 0xb79436d8
0x0806aad0      0x8  at 0xb79435c0
0x0806aae0     0x21  at 0xb79430ed
0x0806ab08     0x30  at 0xb7943613
0x0806ab40     0x18  at 0xb7943669
0x0806ab60     0x10  at 0xb79436d8
0x0806ab78      0x8  at 0xb79435c0
0x0806ab88     0x21  at 0xb79430ed
0x0806abb0     0x30  at 0xb7943613
0x0806abe8     0x18  at 0xb7943669
0x0806ac08     0x10  at 0xb79436d8
